turbine,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666435,-4.954410533109414,0.0,0.00028302645558313185,0.5984279962131008,0.9101019709281042,2.1049721723258963,0.34246047223580106,0.37766892157520277,-0.00004046462182893496,1.0,0.05600000000000001,0,2.1049721723258963,0.00028302645558313185,jointcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154534,0.0,0.0002809630430748746,0.4925674680537529,0.7990811877013015,2.1030096667344167,0.32075174734623946,0.3542070572158372,-0.00003748077651642374,0.9371690714887412,0.07514849741126958,1,2.1030096667344167,0.0002809630430748746,jointcontrol,-2.5,MITWindfarm
2,20.107082491387924,3.1526719582785105,0.0,0.00028233830167935373,0.4417026092692808,0.7432554383914044,2.1045262993264484,0.3094502969802224,0.34136980628955516,-0.00003642737090149178,0.9037313530736465,0.09325652652749432,2,2.1045262993264484,0.00028233830167935373,jointcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972473,0.0,0.00028232958434728866,0.3920000033653136,0.6864221839076858,2.1047561661358105,0.29739932184909323,0.32802383082271963,-0.00003500484558258263,0.8684764638448298,0.11398205086528863,3,2.1047561661358105,0.00028232958434728866,jointcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666435,0.0,0.00028064851723855194,0.36282814783331513,0.6518458568037261,2.1039372592299617,0.2897588683730748,0.3197769971420352,-0.00003379001795809458,0.8463753726203184,0.1244480307829457,4,2.1039372592299617,0.00028064851723855194,jointcontrol,-2.5,MITWindfarm
5,7.206213203972473,-0.530746512248669,0.0,-0.4648099584209931,0.5241640142030216,0.9092017154552771,2.7355605746245573,0.35506680687199094,0.3788174384660174,0.10206133502401014,1.0,0.05600000000000001,5,2.7355605746245573,-0.4648099584209931,jointcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,-0.38124260355402534,0.459143435501579,0.772077709407339,2.1831636091202244,0.30358784366866803,0.39658179574221025,0.07591600251115979,0.944272601589845,0.07211388706651942,6,2.1831636091202244,-0.38124260355402534,jointcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,-0.20325765268607698,0.4150391734064799,0.6634429609058587,1.6952454714180458,0.2595117041829322,0.4140989768505607,0.037024721125842826,0.8982443447732229,0.09671832204622992,7,1.6952454714180458,-0.20325765268607698,jointcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,-0.11903042840322427,0.3754809220415319,0.6137187521838625,1.6395793080368268,0.24805102075380606,0.3990355207652464,0.020938323471016953,0.8642236030661421,0.11969801272560517,8,1.6395793080368268,-0.11903042840322427,jointcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.00028190801360956,0.3832748971336151,0.6761754502862986,2.104541262929019,0.29515695270330183,0.32559875981083514,-0.00003466040793205619,0.8619845596523111,0.10971793423800168,9,2.104541262929019,0.00028190801360956,jointcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120757,0.0,-0.5032206813832796,0.5121227559788075,0.9135994275385482,2.9074972214960875,0.3601217847131443,0.3751344591156832,0.1103571021921155,1.0,0.05600000000000001,10,2.9074972214960875,-0.5032206813832796,jointcontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306038,0.0,-0.35982977171783903,0.45373937522634217,0.7604918613320308,2.1363419796034555,0.3001153333658717,0.3944897684978826,0.07123495218221298,0.9375799809485739,0.07476627240838075,11,2.1363419796034555,-0.35982977171783903,jointcontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,-0.17219612223517752,0.41318214718062296,0.6710816212803216,1.770283978164425,0.26769006478339985,0.3953361264907056,0.03200909557580319,0.8926281884630498,0.10045516040302128,12,1.770283978164425,-0.17219612223517752,jointcontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,-0.2411584422853252,0.42722005009602926,0.6858027089905031,1.7672351282722985,0.26752753963368836,0.41266294633866224,0.04476763317961322,0.9090405808009425,0.08887266029059736,13,1.7672351282722985,-0.2411584422853252,jointcontrol,-2.5,MITWindfarm
14,20.84732804172149,20.107082491387924,0.0,0.00028240258844823275,0.4398455037302403,0.7411770628797701,2.104580774523816,0.3090211219475501,0.3408835676128086,-0.000036389486024618914,0.9024630176807678,0.09142261785630879,14,2.104580774523816,0.00028240258844823275,jointcontrol,-2.5,MITWindfarm
15,-0.9008692874154534,8.31658152947282,0.0,-0.4677545778496706,0.5229932627482031,0.8897608613418948,2.5752992769547873,0.34147206260576035,0.39759091200887564,0.10042239425556859,1.0,0.05600000000000001,15,2.5752992769547873,-0.4677545778496706,jointcontrol,-2.5,MITWindfarm
16,3.522794733445293,12.370122775166783,0.0,-0.32726624436380675,0.45714038715481514,0.7612735912093418,2.1111695302997946,0.3012129385736727,0.3891902716730509,0.06523532477311271,0.9353649875201939,0.07572747401222417,16,2.1111695302997946,-0.32726624436380675,jointcontrol,-2.5,MITWindfarm
17,7.946458754306038,16.42366402086074,0.0,-0.4278730076587793,0.4571692541789431,0.7997698656239033,2.447603573959325,0.32094479396519127,0.3790336269141038,0.08743831384273355,0.9492085421841736,0.07006075599546534,17,2.447603573959325,-0.4278730076587793,jointcontrol,-2.5,MITWindfarm
18,12.370122775166783,20.477205266554705,0.0,-0.39187389021928426,0.4638047940203196,0.7839498038408057,2.2397229528463733,0.30859091370573244,0.39391164254941563,0.07879355972166915,0.9487432879427813,0.07030779366992379,18,2.2397229528463733,-0.39187389021928426,jointcontrol,-2.5,MITWindfarm
19,16.793786796027526,24.53074651224867,0.0,0.00028096298301703783,0.49259684143247595,0.7991129347160482,2.1030095047298385,0.3207581072166798,0.3542141200036688,-0.000037481508583422564,0.9371876999254487,0.07512474502448795,19,2.1030095047298385,0.00028096298301703783,jointcontrol,-2.5,MITWindfarm
20,-4.954410533109414,12.740245550333565,0.0,-0.45589760610458313,0.5265386243608,0.8895631634289187,2.539042105040469,0.3407626274196658,0.3976733824354965,0.09801417269149293,1.0,0.05600000000000001,20,2.539042105040469,-0.45589760610458313,jointcontrol,-2.5,MITWindfarm
21,-0.530746512248669,16.793786796027526,0.0,-0.5320187806957563,0.5025779982984795,0.9174850964195654,3.057666467096204,0.3643681533225552,0.3719487001994885,0.11655363456383429,0.9999999999999669,0.05600000000000001,21,3.057666467096204,-0.5320187806957563,jointcontrol,-2.5,MITWindfarm
22,3.8929175086120757,20.84732804172149,0.0,-0.5282671337802891,0.5034961069416257,0.9250274831133443,3.12227875798997,0.36978648169515027,0.3645833455444121,0.116737304209051,0.9999999999998969,0.05600000000000001,22,3.12227875798997,-0.5282671337802891,jointcontrol,-2.5,MITWindfarm
23,8.31658152947282,24.900869287415453,0.0,-0.46510390908470195,0.5240737636973369,0.9093265430785349,2.7376301031983497,0.3551712919044277,0.3786999103278191,0.10213565692372654,0.9999999999998945,0.05600000000000001,23,2.7376301031983497,-0.46510390908470195,jointcontrol,-2.5,MITWindfarm
24,12.740245550333565,28.954410533109414,0.0,0.00028302645558074676,0.5984279962130226,0.9101019709280244,2.104972172325893,0.34246047223578585,0.3776689215751867,-0.000040464621828399255,0.9999999999999564,0.05600000000000001,24,2.104972172325893,0.00028302645558074676,jointcontrol,-2.5,MITWindfarm
