turbine,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666435,-4.954410533109414,0.0,0.0,0.5980036859293261,0.8942917804882498,2.0,0.33131031842556075,0.3934578026332764,0.00002261782372793683,1.0,0.05600000000000001,0,2.0,0.0,nocontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154534,0.0,0.0,0.3370416376051877,0.6101908665101449,2.0,0.2736706310899827,0.32500601148080394,0.0000186828895728981,0.826025076401209,0.12679020754063747,1,2.0,0.0,nocontrol,-2.5,MITWindfarm
2,20.107082491387924,3.1526719582785105,0.0,0.0,0.35251596859996487,0.6287276042690402,2.0,0.27779639564396175,0.32990569061939856,0.000018964546407096076,0.838477947092304,0.14448709945528235,2,2.0,0.0,nocontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972473,0.0,0.0,0.3688877436135653,0.6480464698110018,2.0,0.2820320193128493,0.33493583634338825,0.000019253703080440984,0.8512624075613168,0.14739576656578826,3,2.0,0.0,nocontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666435,0.0,0.0,0.36883872587388683,0.6479890603375178,2.0,0.2820195266374814,0.3349210002808635,0.000019252850233084148,0.8512247006905279,0.14783130706028794,4,2.0,0.0,nocontrol,-2.5,MITWindfarm
5,7.206213203972473,-0.530746512248669,0.0,0.0,0.5980036859293261,0.8942917804882498,2.0,0.33131031842556075,0.3934578026332764,0.00002261782372793683,1.0,0.05600000000000001,5,2.0,0.0,nocontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,0.0,0.3370416376051872,0.6101908665101444,2.0,0.2736706310899826,0.3250060114808038,0.00001868288957289809,0.8260250764012087,0.1267902075406376,6,2.0,0.0,nocontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,0.0,0.3525159686001091,0.6287276042692116,2.0,0.2777963956439996,0.3299056906194435,0.000018964546407098665,0.8384779470924184,0.1444870994552824,7,2.0,0.0,nocontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,0.0,0.36900081764571513,0.6481788921817029,2.0,0.28206083317315744,0.3349700551332409,0.000019255670139047754,0.8513493769634322,0.14739576655900033,8,2.0,0.0,nocontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.0,0.3632453552032913,0.641421301022866,2.0,0.2805866678083199,0.33321936451809975,0.00001915503212533851,0.8468998766525363,0.14739576772737947,9,2.0,0.0,nocontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120757,0.0,0.0,0.5980036859293261,0.8942917804882498,2.0,0.33131031842556075,0.3934578026332764,0.00002261782372793683,1.0,0.05600000000000001,10,2.0,0.0,nocontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306038,0.0,0.0,0.3370416376051874,0.6101908665101445,2.0,0.27367063108998263,0.3250060114808039,0.000018682889572898093,0.8260250764012088,0.1267902075406376,11,2.0,0.0,nocontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,0.0,0.35251775420010606,0.6287297273977326,2.0,0.2777968646841282,0.3299062476425366,0.00001896457842743235,0.838479362804826,0.1444870994552824,12,2.0,0.0,nocontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,0.0,0.35221052210113574,0.6283643670323111,2.0,0.2777161378559656,0.32981037800414637,0.000018959067385161845,0.8382357035413711,0.1444870994559113,13,2.0,0.0,nocontrol,-2.5,MITWindfarm
14,20.84732804172149,20.107082491387924,0.0,0.0,0.3522105209800533,0.6283643656989262,2.0,0.2777161375613097,0.32981037765421867,0.00001895906736504634,0.8382357026520059,0.1444870994559113,14,2.0,0.0,nocontrol,-2.5,MITWindfarm
15,-0.9008692874154534,8.31658152947282,0.0,0.0,0.5980036859293261,0.8942917804882498,2.0,0.33131031842556075,0.3934578026332764,0.00002261782372793683,1.0,0.05600000000000001,15,2.0,0.0,nocontrol,-2.5,MITWindfarm
16,3.522794733445293,12.370122775166783,0.0,0.0,0.3370416376081845,0.610190866513762,2.0,0.27367063109079387,0.3250060114817673,0.000018682889572953472,0.8260250764036573,0.12679020754063758,16,2.0,0.0,nocontrol,-2.5,MITWindfarm
17,7.946458754306038,16.42366402086074,0.0,0.0,0.3370415000710163,0.6101907005126508,2.0,0.2736705938650384,0.32500596727317144,0.00001868288703163336,0.826024964044478,0.12679020754063747,17,2.0,0.0,nocontrol,-2.5,MITWindfarm
18,12.370122775166783,20.477205266554705,0.0,0.0,0.3370415000710163,0.6101907005126508,2.0,0.2736705938650384,0.32500596727317144,0.00001868288703163336,0.826024964044478,0.12679020754063747,18,2.0,0.0,nocontrol,-2.5,MITWindfarm
19,16.793786796027526,24.53074651224867,0.0,0.0,0.3370415000710163,0.6101907005126508,2.0,0.2736705938650384,0.32500596727317144,0.00001868288703163336,0.826024964044478,0.12679020754063747,19,2.0,0.0,nocontrol,-2.5,MITWindfarm
20,-4.954410533109414,12.740245550333565,0.0,0.0,0.5980036859293261,0.8942917804882498,2.0,0.33131031842556075,0.3934578026332764,0.00002261782372793683,1.0,0.05600000000000001,20,2.0,0.0,nocontrol,-2.5,MITWindfarm
