turbine,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666435,-4.954410533109414,0.0,0.0,0.5984279897705919,0.9099981906016935,2.1042522001090886,0.34238551686030344,0.3777735287719473,0.00002382932823718957,1.0,0.05600000000000001,0,2.1042522001090886,0.0,thrustcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154534,0.0,0.0,0.37291180439732746,0.6639610517809654,2.1048228539924785,0.2924975216579811,0.32260238365120264,0.000020358531843421924,0.8541446294168675,0.11054222867918458,1,2.1048228539924785,0.0,thrustcontrol,-2.5,MITWindfarm
2,20.107082491387924,3.1526719582785105,0.0,0.0,0.3691793578329177,0.6595253580294791,2.1048428428223644,0.29152015808035897,0.3215199989044318,0.000020290550408876185,0.8512853791416792,0.12459372178408097,2,2.1048428428223644,0.0,thrustcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972473,0.0,0.0,0.37682814868638814,0.6685993954088987,2.104802084701224,0.29351604639456436,0.32373037048222414,0.000020429376085972498,0.8571243165694565,0.12984296791205138,3,2.104802084701224,0.0,thrustcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666435,0.0,0.0,0.3777471509486922,0.6696857502146463,2.104799728111808,0.29375424948219764,0.32399362002125887,0.000020445950157608366,0.8578205310592171,0.13249448188565544,4,2.104799728111808,0.0,thrustcontrol,-2.5,MITWindfarm
5,7.206213203972473,-0.530746512248669,0.0,0.0,0.5768217504042149,0.7878598206164338,1.4698181376473833,0.26786246066857344,0.4915288217189953,0.000010320091952923326,1.0,0.05600000000000001,5,1.4698181376473833,0.0,thrustcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,0.0,0.3619200773985603,0.584852374117666,1.5272615540781622,0.23513459503233328,0.4092859503418786,0.000010417889060489925,0.8539575551760257,0.11064336081414264,6,1.5272615540781622,0.0,thrustcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,0.0,0.3540548492202241,0.5828598213206742,1.5796150488111114,0.23861807443965796,0.39636718935400617,0.000011666130351440382,0.846062328219217,0.1307833239043412,7,1.5796150488111114,0.0,thrustcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,0.0,0.363181887735182,0.5971240256971111,1.6141551411019504,0.24407693751565315,0.39337554413944814,0.000012591820285577509,0.8522954517701853,0.13985446561476736,8,1.6141551411019504,0.0,thrustcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.0,0.37229669844137037,0.6632310308576255,2.1048257241042774,0.29233686662944974,0.32242455593359026,0.000020347356407726056,0.8536747430553351,0.13019849571981726,9,2.1048257241042774,0.0,thrustcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120757,0.0,0.0,0.5770655208815535,0.7886194689467629,1.4728286735769949,0.26825859162182414,0.49087635988039807,0.000010422147336613344,1.0,0.05600000000000001,10,1.4728286735769949,0.0,thrustcontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306038,0.0,0.0,0.3670388665356781,0.6106819735014821,1.6905234174952763,0.25244484247504834,0.3812705520189027,0.00001432018642174896,0.8534759559876651,0.11090408105406603,11,1.6905234174952763,0.0,thrustcontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,0.0,0.35531295039431304,0.6129294193086083,1.8239348749276831,0.26239569050217193,0.355760214959376,0.000016613634397791042,0.8420920457450158,0.13583098157826193,12,1.8239348749276831,0.0,thrustcontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,0.0,0.3534557770592133,0.5829685110075504,1.5858610122075234,0.23909928847348305,0.39498853432899583,0.000011810776006420786,0.8454026657319424,0.1315292069532422,13,1.5858610122075234,0.0,thrustcontrol,-2.5,MITWindfarm
14,20.84732804172149,20.107082491387924,0.0,0.0,0.3689637678337602,0.659268663746279,2.104843734749193,0.2914634796736118,0.32145729029941217,0.000020286607472691397,0.8511196382677911,0.12462287655218998,14,2.104843734749193,0.0,thrustcontrol,-2.5,MITWindfarm
15,-0.9008692874154534,8.31658152947282,0.0,0.0,0.5776868495813626,0.7905717827840878,1.4806041601316657,0.26927970089322806,0.4891966778664928,0.000010683943611745211,1.0,0.05600000000000001,15,1.4806041601316657,0.0,thrustcontrol,-2.5,MITWindfarm
16,3.522794733445293,12.370122775166783,0.0,0.0,0.3682118774009217,0.6281789708880795,1.8283300376682652,0.26594899769955455,0.3593393800158228,0.00001688422447709113,0.852106596831482,0.11164832445050288,16,1.8283300376682652,0.0,thrustcontrol,-2.5,MITWindfarm
17,7.946458754306038,16.42366402086074,0.0,0.0,0.3659916675871101,0.6115894833358603,1.7078024426383882,0.2538835403088266,0.3779738677386775,0.000014659501930765934,0.8523105531325939,0.1115371466219828,17,1.7078024426383882,0.0,thrustcontrol,-2.5,MITWindfarm
18,12.370122775166783,20.477205266554705,0.0,0.0,0.3618318567235028,0.5848264250026199,1.5278030110753567,0.2351699673612482,0.4091469079287493,0.000010431360668326785,0.8538695357363978,0.11069092011360614,18,1.5278030110753567,0.0,thrustcontrol,-2.5,MITWindfarm
19,16.793786796027526,24.53074651224867,0.0,0.0,0.3729116387665653,0.663960855270885,2.1048228548594055,0.292497478430327,0.3226023357817383,0.000020358528836650703,0.8541445029592408,0.11054224605829298,19,2.1048228548594055,0.0,thrustcontrol,-2.5,MITWindfarm
20,-4.954410533109414,12.740245550333565,0.0,0.0,0.5794042681010301,0.7960966803451498,1.5029137533716277,0.2721935885352169,0.4844207354257163,0.000011420451553048609,1.0,0.05600000000000001,20,1.5029137533716277,0.0,thrustcontrol,-2.5,MITWindfarm
21,-0.530746512248669,16.793786796027526,0.0,0.0,0.5791529761883238,0.7952758613186733,1.4995702544267706,0.2717583867967386,0.4851324112684342,0.000011311457385628982,0.9999999999999999,0.05600000000000001,21,1.4995702544267706,0.0,thrustcontrol,-2.5,MITWindfarm
22,3.8929175086120757,20.84732804172149,0.0,0.0,0.5771796250457571,0.7889762530903226,1.4742455044284248,0.2684448704444324,0.4905697054099335,0.000010470044381449631,0.9999999999999999,0.05600000000000001,22,1.4742455044284248,0.0,thrustcontrol,-2.5,MITWindfarm
23,8.31658152947282,24.900869287415453,0.0,0.0,0.5768217924276935,0.7878599512716126,1.469818654729021,0.2678625287442288,0.49152870955207423,0.000010320109514423864,0.9999999999999999,0.05600000000000001,23,1.469818654729021,0.0,thrustcontrol,-2.5,MITWindfarm
24,12.740245550333565,28.954410533109414,0.0,0.0,0.5984279897705915,0.9099981906016928,2.1042522001090864,0.34238551686030316,0.37777352877194775,0.000023829328237189136,0.9999999999999999,0.05600000000000001,24,2.1042522001090864,0.0,thrustcontrol,-2.5,MITWindfarm
